Unnamed: 0,Title,Cleaned_Ingredients
1029,Spaghetti with Lobster Pomodoro,2  l ive lobsters; 1/4 small red onion; 3 garlic cloves; 2 sprigs basil; 1  can whole peeled San Marzano tomatoes; Tarragon and parsley leaves
1030,Ugly Baby’s Red Curry Paste,1 tsp . coriander seeds; 2 lemongrass stalks
1031,Cold Udon with Grapefruit Ponzu,1 g rapefruit; 1 lemon; 1 red chile
1032,Fried-Bread Panzanella with Ricotta and Herbs,2 l arge heirloom tomatoes; 1/2 small shallot; 1/2 small garlic clove; 1/2 cup basil leaves; 1/4 cup parsley leaves with tender stems
1033,Seared Halloumi with Peanut Dukkah and Honey,1/4 cup skinless raw peanuts; 1 tsp. coriander seeds
1034,Swiss Chard–Tahini Dip,2 bunch es green-stemmed Swiss chard; 5 garlic cloves; 1/3 cup fresh lemon juice
1035,Crispy Fish with Brown Butter Sauce and Kohlrabi Salad,1/4 cup plus 2 tsp. fresh lemon juice; 1 large green apple
1036,Lemony Cabbage with Mint,1 cup fresh lemon juice; 1/4 cup dried mint; 1 medium head of cabbage
1037,Custard Tart with Cream and Fresh Fruit,
1038,Chocolate Budino with Candied Walnuts,1 cup coarsely chopped walnuts; 1 cup bittersweet chocolate wafers  or 5 oz. chocolate
1039,Herb-Rubbed Cast-Iron Chicken with Pan Sauce,1 cup parsley leaves with tender stems; 1 Tbsp. rosemary leaves; 1 Tbsp. oregano leaves; 2 garlic cloves; 1  chicken
1040,Sheet-Pan Roasted Squash and Feta Salad,1 l arge or 2 small acorn or delicata squash
1041,Sheet-Pan Old Bay Trout and Succotash,1 l emon; 3 medium ears of corn; 6 oz. green beans; 1 large tomato; 1/4 cup fresh lemon juice
1042,Sheet-Pan Steak Fajitas,2 tsp . ground coriander; 1 large red onion
1043,Passion Fruit Jell-O Whip,2 cup s [480 ml] passion fruit juice; Mixed berries and mint sprigs for garnish
1044,Make-Ahead Sheet-Pan Meatballs,3 lb . ground beef; 1 lb. sweet Italian sausage
1045,Sheet-Pan Chicken with Tomatoes and Mozzarella,3 pints grape tomatoes; 2 garlic cloves; 1 Tbsp. plus 1 tsp. dried oregano; 4 pieces thin- skinless
1046,Filipino-Style Spiced Vinegar,10 g arlic cloves; 1/4 cup  dried fruit
1047,Chicken Barbecue (Inihaw na Manok),1/2 cup fresh lemon juice; 1/4 cup   garlic; 3 pounds  boneless
1048,Sinangag (Garlic Fried Rice),1 cup garlic cloves
1049,Eggplant Omelet (Tortang Talong),2 l arge Asian eggplants; 2 tablespoons picked cooked crabmeat
1050,Ground Pork Menudo,2 clove s garlic; 1 small onion; 1 lb  lean ground pork; 1 cup   carrots; 1 large potato; 1/2 cup  frozen green peas
1051,Chicken in Pineapple Sauce (Chicken Hamonado),3 lb chicken pieces of your choice; 1 tbsp  lemon juice; 4 cloves garlic; 1 small onion; 1 cup  unsweetened pineapple juice; 1  can pineapple chunks with juice
1052,Meatballs and Noodle Soup (Almondigas),1 lb lean ground pork; 2 green onions
1053,Nutella Grilled Cheese,
1054,Stir-Fried Rice Noodles with Shrimp and Adobo (Pansit Bihon Guisado),2 dried mushrooms; 1/2 cup leftover chicken and/or pork adobo meat; 4–6 cloves garlic; 1 small to medium onion; 1–2 celery ribs; 1/4 cup fresh shrimp
1055,Seafood Sinigang (Sour and Savory Seafood Soup),4 small cloves garlic; 1 bunch flat-leaf parsley; Grated zest of 2 lemons; Juice of 1 lemon; 2 red onions; 4 tomatoes; 1 pound fish fillets; 1/2 pound long beans or green beans; 1 bunch water spinach or spinach; 1 pound mixed shellfish
1056,Spaghetti Sauce Chicken Afritada,6 clove s garlic; 2 medium onions; 4 pounds bone-in; 3 large potatoes
1057,Spicy Sizzling Squid (Sisig na Pusit),1 lb cleaned fresh squid tubes and tentacles; 3 tablespoons fresh calamansi  juice; 1 large shallot; 2 cloves garlic; 2 green onions; 1 tablespoon salmon roe; 2 tablespoons  prawn crackers; Halved calamansi limes
1058,Weeknight Tandoori Chicken,1 1/2 teaspoons ground coriander; 1 teaspoon ground ginger; 1 1/2 pounds boneless skinless chicken thighs; 2 ounces fresh spinach; Suggested accompaniments: Cilantro; mint leaves
1059,Cardamom Knots,
1060,Big Apple Crumble Cupcakes,2 1/2 cup s freshly  apples
1061,Oatmeal Cookie Energy Bites,
1062,Vinegar Chicken with Alabama White Sauce,4 g arlic cloves; 1 whole chicken
1063,Honey-Roasted Vegetable Salad,1 small head cauliflower; 1 bunch baby heirloom carrots; 4 cups  baby spinach leaves; 1 cup mint leaves; 1 tablespoon lemon juice
1064,Ricotta and Zucchini Cannelloni,1 1/2 cup s  frozen peas; 2 cups  baby spinach leaves; 1/4 cup  mint; 2 teaspoons finely  lemon rind; 3–4 zucchinis; 2 cups  tomato puree
1065,Bacon-Latticed Apple Pie,5 medium apples; Juice of 1/2 lemon; 6 slices bacon
1066,Lemon and Fig Cupcakes,1/2 cup freshly squeezed lemon juice; 1/2 cup freshly  lemon zest; 1/2 cup fresh or dried figs
1067,Toasted Coconut Chia Pudding,Unsweetened toasted coconut flakes
1068,Crispy Fish Sandwich,1 small red onion; 1/3 cup chopped dill; 2 tsp. fresh lemon juice; 3 cups shredded iceberg lettuce; 1 cup potato chips
1069,Coconut-Strawberry Ice Cream Pie,1 cup unsweetened shredded coconut; 6 oz. graham crackers; 1 Tbsp. fresh lemon juice
1070,Air Fryer Memphis-Style BBQ Pork Ribs,2 1/4 pound s individually cut St. Louis–style pork spareribs
1071,Grilled Chicken with Mustard Barbecue Sauce and Tomato Salad,5–6 lb . skin-on; 2 large sweet onions; 1  jar pickled green beans; 2 lb. tomatoes
1072,Cold Beef Tenderloin with Tomatoes and Cucumbers,1  beef tenderloin; 3 lb. heirloom tomatoes; 6 mini seedless or Persian cucumbers; 1 cup basil leaves
1073,Apple Walnut Bundt Cake,4 l arge tart apples  / 525 grams or 4 cups
1074,Caramel Sauce and Glaze,
1075,Air Fryer Crispy Herbed Chickpeas,1  can chickpeas; 1/2 teaspoon dried rosemary; 1/2 teaspoon dried parsley; 1/2 teaspoon dried chives
1076,Caramelized Eggplant with Harissa Yogurt,1 medium eggplant; 1 garlic clove
1077,Sweet Potato Sonker with Milk Dip,6 medium  sweet potatoes
1078,Mexican Meat Patties with Fresh Corn Salsa,1/2 lb . ground beef; 1/2 lb. ground pork; 1/2 cup coarsely chopped cilantro leaves and tender stems; 2 ears corn on the cob; 1 large tomato; 1/2 small red onion; 1 avocado
1079,Three Cities of Spain Cheesecake,
1080,Antipasto Salad,1 g arlic clove; 1/2 tsp.  dried oregano; 1 small red onion
1081,Collard Green Wraps with Curried Tofu,5 scallions; 4 garlic cloves; 1  piece ginger
1082,Peach Lassi Sorbet with Crushed Blackberries,4 medium peaches
1083,Plum-Cardamom Crumble with Pistachios,3 lb . any variety ripe plums; 2 tsp. finely  lemon zest; 2 Tbsp. fresh lemon juice; 2 Tbsp. coarsely chopped raw pistachios
1084,Ricotta Panna Cotta with Nectarines and Honey,2 l arge or 3 medium nectarines
1085,Peanut Rice Noodles with Pork and Collard Greens,1 lb . ground pork; 1  piece ginger
1086,Cold Paprika-Grilled Chicken with Marinated Bell Peppers,7–8 lb . skin-on
1087,Rice Noodles al Pomodoro with Chili Oil,6 g arlic cloves; 1 Fresno chile or red jalapeño; 2 large sprigs basil; 3 pints cherry tomatoes
1088,Cold Roast Lamb with Marinated Eggplant,8 g arlic cloves; 3 Tbsp. coarsely chopped rosemary; 1  boneless leg of lamb; 12 small Italian eggplants; 12 shallots; 1 1/2 cups parsley leaves with tender stems
1089,Hot-Smoked Salmon with Salted Yogurt and Fennel,2 Tbsp . fresh lemon juice; 2 Tbsp. coarsely chopped capers; 1 large fennel bulb; 2 lb. hot-smoked salmon
1090,Coconut Rice Noodles with Ginger and Turmeric,1 small red onion; 4 garlic cloves; 1  piece ginger
1091,"Grilled Pork Chops with Plums, Halloumi, and Lemon",4 bone-in pork rib chops; 4 ripe medium red or black plums; 1 lemon
1092,Cold Roast Salmon with Smashed Green Bean Salad,1  whole side of salmon; 1/4 cup fresh lemon juice; 2 lb. green beans; 1 bunch radishes
1093,"Skillet Cod, Clams, and Corn with Parsley",1 1/4 lb . skinless cod fillet
1094,Spicy Steak Salad Wraps,2 g arlic cloves; 3 Tbsp. fresh lime juice; 1 lb. skirt steak; 2 small or 1 large head of iceberg lettuce
1095,BLT Wraps with Horseradish Mayonnaise,1 lb . thick-cut bacon; 1 Tbsp. finely  lemon zest; 4 tsp. fresh lemon juice; 2 tsp. prepared horseradish; 3 heads of Little Gem lettuce
1096,Fiery Green Tahini Sauce,2 l emons; 2 garlic cloves; 3 cups chopped parsley
1097,Watermelon with Lime Dressing and Peanuts,2 Tbsp . fresh lime juice; 2 sprigs basil; 1/2  baby seedless watermelon
1098,Sambal Shrimp Lettuce Wraps,1/2 cup hot chili paste; 1 1/2 lb. large shrimp; 2 Persian cucumbers; 2 heads of Bibb lettuce
1099,Bird of Paradise,1 oz . pineapple juice; 1/2 oz. fresh lime juice; 1 pineapple leaf (optional
1100,Master Vegetable Marinade,
1101,Grilled Serrano Salsa Verde,1 bunch basil; 1 bunch cilantro; 1 bunch parsley
1102,Cucumber and Melon Salad with Chile and Honey,1/2 jalapeño or Fresno chile; 1 English hothouse cucumber
1103,Lemony Yogurt Sauce,6 Tbsp . fresh lemon juice; 1 garlic clove
1104,Peaches and Tomatoes with Burrata and Hot Sauce,3 ripe peaches or nectarines; 2 large ripe tomatoes or 1 lb. mixed tomatoes; Tarragon sprigs
1105,Tomato Toast with Chives and Sesame Seeds,1 g arlic clove; 1/2 lemon; 3 medium tomatoes; 2 Tbsp.  chives
1106,Radish Rainbow Salad,1 lb . mixed radishes; 1 lemon; 1/2 cup basil leaves
1107,Yellow Tomato Bloody Mary,2 lb . very ripe yellow tomatoes
1108,Plum Salad with Black Pepper and Parmesan,6 ripe red
1109,Chicken Cobb Salad,4 oz . bacon; 1/2 rotisserie chicken; 2 large beefsteak and/or heirloom tomatoes; 1 ripe avocado
1110,Mussels with Chorizo and Tomatoes on Toast,1 medium onion; 1 medium fennel bulb; 6 garlic cloves
1111,Honey Scones with Rhubarb Compote,200g rhubarb; 100ml  orange juice
1112,Miso Kale Caesar Salad,1 l arge bunch lacinato or curly kale
1113,Grilled Corn on the Cob with Salt-and-Pepper Butter,6 ears of corn
1114,Grilled Steak and Mixed Peppers,3  strip steaks
1115,Oregano-Marinated Tomato Salad,3 lb . mixed heirloom tomatoes; 2 Tbsp. oregano leaves
1116,Noodles with Chilled Tomato Broth,1 1/2 lb . very ripe red tomatoes; 1 small garlic clove; 2 medium Persian cucumbers
1117,Matcha–Chocolate Chip Cookies,1 1/2 ripe medium bananas
1118,Turmeric-Kale Fried Rice,1/2 l arge yellow onion; 2 garlic cloves; 2 carrots; 3 green onions; 1 cup chopped kale or broccoli rabe
1119,Matcha Coconut Ice Cream,fresh mint; toasted coconut shavings
1120,Miso-Carrot-Cucumber Salad,2 l arge cucumbers; 1 large carrot
1121,"Summer Pizza with Salami, Zucchini, and Tomatoes",1 medium shallot; 2 medium zucchini; 1 pint grape tomatoes; 1 cup basil leaves
1122,Hummus Dinner Bowls with Spiced Ground Beef and Tomatoes,1 lb . ground beef; 1 tsp. ground coriander; 1 pint cherry tomatoes or 2 medium heirloom or beefsteak tomatoes; 1 cup parsley leaves with tender stems; 1 Tbsp. fresh lemon juice; 1 batch Easy Canned Chickpea Hummus; lemon wedges
1123,Grilled Chicken Salad with Romesco Sauce,1 lb . skinless; 2 garlic cloves; 1 garlic clove; 3 small heads of Little Gem lettuce
1124,Grilled Ratatouille Pasta Salad,2 medium zucchini; 1 medium or 2 small eggplants; 1 large or 2 medium heirloom or beefsteak tomato; 1 Tbsp. thyme leaves; 1 cup basil leaves
1125,"Grain Bowls with Grilled Corn, Steak, and Avocado",1 lb . skirt or flank steak; 3 large or 4 small ears of corn; 4 scallions; 2 Tbsp. fresh lime juice; 1 avocado
1126,Basil-Cashew-Lime Vermicelli Bowls with Pork and Green Beans,2 l arge boneless center-cut pork loin chops; 2 cups basil leaves; 1 Tbsp. finely  lime zest; 1/3 cup fresh lime juice; 1 lb. green beans
1127,Middle Eastern Limonana,1 1/2 cup s freshly squeezed lemon juice; 3 cups loosely packed mint leaves
1128,Limonada de Coco,3/4 cup freshly squeezed lime juice
1129,Cardamom Sharbat,1/2 cup freshly squeezed lemon juice
1130,Cedar-Plank Salmon,1 teaspoon  rosemary; 1 tablespoon  lemon zest; 1  salmon fillet with skin
1131,Simplest Kale Salad,6 Tbsp . fresh lemon juice; 2 bunches curly kale
1132,Picnic Three-Bean Salad,1/2 cup canned cannellini beans; 1/2 cup canned chickpeas; 1/2 cup kidney beans; 1/4 cup chopped celery; 2 tablespoons chopped red onions; 2 tablespoons chopped fresh cilantro; 2 tablespoons chopped rosemary
1133,Flatbread Caprese,1/2 pint grape tomatoes; Handful of fresh basil leaves
1134,Cold Sesame Noodles with Cucumber,2 tablespoons freshly  ginger; 2 garlic cloves; 2 Persian cucumbers
1135,Date Ice Cream (Buza ‘Ala-Tamr),3 cup s  pitted dates
1136,Lemon and Lime Battenberg,Grated zest and juice of 1 unwaxed lemon; Grated zest and juice of 1 lime; 4 tbsp fine-cut lime marmalade
1137,Summer Salad with Lemon Dijon Dressing,2 cup s chopped fresh spinach; 1/4 cup chopped asparagus; 2 tablespoons fresh corn kernels; 2 tablespoons chopped fresh basil leaves; 1/4 avocado; 4 ounces grilled tofu
1138,Easy Canned Chickpea Hummus,2  cans chickpeas
1139,Chicken Satay (Sate Ayam),5 clove s garlic; 1 tablespoon ground coriander; 1/2 cup  raw peanuts; skinless dark chicken meat
1140,Out-of-This-World Cherry Pie,2 tablespoons lemon juice
1141,Farmer's Wife's Breakfast,1 pound ground lamb; 2 tablespoons ground fennel seed; 2 tablespoons coconut aminos; 2 handfuls of greens such as arugula
1142,Niçoise Toast,Juice from 1 lemon; 1 lb. tomatoes; 1 medium shallot; 1 small garlic clove; 1/2 cup torn mixed tender herbs
1143,Marinated Summer Squash with Hazelnuts and Ricotta,3 medium summer squash or zucchini; 1 small bunch mint; 1 small garlic clove; 1/2 lemon
1144,Grilled Strip Steak with Blistered Tomatoes and Green Beans,1 1/2 lb . runner beans
1145,Cinnamon-Oat Peach Crisp,5 lb . medium peaches
1146,"Orecchiette with Buttermilk, Peas, and Pistachios",2 medium leeks
1147,Hanger Steak with Charred Scallion Sauce,1/2 cup or coarsely chopped walnuts; 1 small garlic clove; 1  hanger steak
1148,Charred Cabbage with Goat Cheese Raita and Cucumbers,1 g arlic clove; 2 cups mint leaves; 2 cups parsley leaves with tender stems; 2 Tbsp. fresh lemon juice; 1 medium head of purple cabbage; 3 Persian cucumbers; 1/2 cup  Corn Nuts
1149,Grilled Rosemary Lamb with Juicy Tomatoes,1  boneless lamb shoulder; 2 red onions; 1 bunch rosemary; 1 bunch oregano; 1/4 cup fresh lemon juice; 1 garlic clove; 5 beefsteak or large heirloom tomatoes; 3 Tbsp. fresh lemon juice; 1 red onion
1150,Grilled Chile-Lemongrass Short Ribs with Pickled Daikon,3 l emongrass stalks
1151,Wilted Greens in Tomato-Bacon Broth,4 slice s bacon; 1 small onion; 4 garlic cloves; 1 pint Sun Gold or cherry tomatoes
1152,Grilled Pork Ribs with Gochujang Barbecue Sauce,2 racks St. Louis–style pork spareribs
1153,Grilled Pork Chops with Pineapple-Turmeric Glaze,1/2 cup pineapple juice; 4  bone-in pork chops
1154,Grilled Chicken Drumsticks with Savory Caramel,4 g arlic cloves; 1 lemongrass stalk
1155,Sticky-Sweet Grilled Pork Shoulder with Hoisin and Molasses,2 head s of garlic
1156,Grilled Brisket with Scallion-Peanut Salsa,1 1/2 lb . flat-cut beef brisket; 4 garlic cloves; 1/4 cup fresh lime juice; 1/3 cup chopped raw peanuts; 1 garlic clove; 2 Tbsp. fresh lime juice; 1 bunch scallions; 1/2 bunch cilantro
1157,Mini Strawberry Eton Mess,
1158,Spicy Grilled Chicken with Crunchy Fennel Salad,1 1/2 lb . skinless; 2 garlic cloves; 1 red chile
1159,Blackberry Icebox Cake,1 l emon
1160,Grilled Salmon Steaks with Cilantro-Garlic Yogurt Sauce,2 g arlic cloves; 1 cup cilantro leaves with tender stems; 2  bone-in salmon steaks
1161,Grilled Spiced Snapper with Mango and Red Onion Salad,1  or 2  head-on whole fish; 1 ripe but firm mango
1162,Grilled Swordfish with Charred Leeks and Citrus,4 medium leeks; 1/4 cup coarsely chopped dill; 3 oranges; 4  swordfish steaks
1163,Pork Shoulder Steaks with Grilled Mustard Greens,2 Tbsp . fennel seeds; 4  boneless pork shoulder  steaks  or pork blade chops; 1 lemon; 2 garlic cloves
1164,Fried Fish Sandwiches with Cucumbers and Tartar Sauce,1/4 cup finely  lemon zest; 2 Tbsp. fresh lemon juice; 1 Tbsp. chopped drained capers; 1 small garlic clove; 5–6 mini seedless or Persian cucumbers; 8 potato rolls; 8  pieces skinless; 1/2 cup very coarsely chopped dill; Lettuce leaves
1165,Romesco Pasta Salad with Basil and Parmesan,Zest and juice of 1 lemon; 2 garlic cloves; 1 lb. mixed ripe tomatoes; 4 oz. Parmesan; 1 cup basil leaves
1166,Charro Beans,1 lb . dried pinto beans; 12 garlic cloves; 1 Tbsp. beef bouillon paste; 3/4 tsp. ground coriander; 1 small white onion; 1 medium tomato; 1/2 cup chopped cilantro
1167,Valentina's Charred Tomato Salsa,6 plum tomatoes; 1/4 small onion; 1 garlic clove; 1 serrano chile; 1/2 cup cilantro leaves with tender stems; 1 Tbsp. fresh lime juice
1168,Spiked Ginger-Mint Lemonade,1/2 cup chopped mint; 1/2 cup chopped peeled ginger; 1  bottle lemon-flavored vodka; 2 cups fresh lemon juice; Lemon wheels and mint leaves
1169,Sweet-and-Spicy Slaw,6 Tbsp . peach nectar or juice; 1 large head of cabbage
1170,"Blueberry, Lime, and Cashew Smoothies",2 Medjool dates; 2 cups coconut water; 1 Tbsp. fresh lime juice
1171,Strawberry-Rose Agua Fresca,1/4 cup mint leaves; 2 Tbsp. fresh lime juice; Club soda and lime wheels
1172,Potato Salad with Bacon and Eggs,6 medium russet potatoes
1173,Grand Aioli,1 g arlic clove; 2 Tbsp. fresh lemon juice; 1 1/2 lb. protein (such as  ham; cooked shrimp
1174,Matcha-Dipped Strawberries,2 oz . white chocolate
1175,Grilled Corn Salad with Hot Honey-Lime Dressing,3 ears of corn; 3 Tbsp. fresh lime juice; 1 tsp. granulated garlic; 1 1/2 avocados; 1/2 cup cilantro leaves with tender stems
1176,Strawberry and Watercress Salad,1/2 medium rhubarb stalk; 2 Tbsp. fresh lemon juice; 1 bunch watercress; 1/2 cup basil leaves; 1/2 cup cilantro leaves with tender stems; 2 scallions
1177,Spicy Kimchi Slaw,8 scallions; 1 small head of Napa cabbage; 2 cups store-bought shredded carrots; Toasted sesame seeds and cilantro with tender stems
1178,Charred Bean and Pea Salad,6 g arlic cloves; 1  piece ginger
1179,Pork Tenderloin with Peach-Mustard Sauce,2 l arge ripe peaches
1180,Grilled Clambake with Miso-Lime Butter,"4 lb . littleneck clams; 1 2 1/2"" piece ginger"
1181,Big-Batch Strawberry Compote,1 vanilla bean
1182,"Southern ""One-Cup"" Peach Cobbler",1 1/2 lb . peaches
1183,Spiked Ginger-Lemonade Soda Can Cocktail,1 1/2 oz . fresh lemon juice
1184,Cherry-Bourbon Soda Can Cocktail,1  can Dr. Brown’s Cherry Soda; 1 oz. fresh lemon juice
1185,Salty Paloma Soda Can Cocktail,1 oz . fresh lime juice; Lime wedge
1186,Brown Butter Steel-Cut Oatmeal,
1187,BBQ Baby Back Ribs,1 or 2 racks baby back ribs; 4 cups apple juice
1188,One-Pot Turkey Bolognese with “Spaghetti”,1 yellow onion; 2 cloves garlic; 1 pound ground turkey; One 28-ounce can  tomatoes; 2 celery stalks; 2 carrots; 1/2 teaspoon dried oregano; 1 teaspoon dried basil; One 3-pound spaghetti squash
1189,Hidden Cauliflower Mac ‘n’ Cheese,1 pound fresh or frozen cauliflower florets
1190,Grilled Short Ribs and Lettuces with Mustard-Orange Dressing,1/2 cup plus 1 tsp. orange marmalade; 3 lb.  crosscut bone-in beef short ribs; 2 garlic cloves
1191,"Chicken Salad with Apricots, Celery, and Blue Cheese",1 small rotisserie chicken
1192,Grilled Lemon-Pepper Chicken,1  chicken; 1 1/2 lemons
1193,Instant Pot Chicken Stock,2 lb . chicken parts; 1 lb. ground chicken; 1 medium onion; 1 medium carrot
1194,Instant Pot Refried Black Beans,1 lb . dried black beans; 1 white onion
1195,Instant Pot Bolognese,4 oz . pancetta; 1 medium onion; 1 medium carrot
1196,Instant Pot Mushroom Risotto,1 lb . wild mushrooms
1197,Big-Batch Black Beans,2 lb . dried black beans
1198,Red Velvet Cake With Blackberry–Cream Cheese Whipped Frosting,3 tablespoons fresh lime juice
1199,Gin Rocket,1 fennel bulb with fronds; 1/4 cup packed arugula leaves; 3/4 ounce fresh lime juice; GARNISH: lime wheel; arugula leaf
